#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
51.5%	28300	56.60000000002321	-458000.4411746231	4467.796117532533	-453532.64505709056	310.5185558546003	18.825367114537144	0.9181366730514394	104	0:44
51.5%	28350	56.70000000002333	-457935.1821084589	4462.29366920935	-453472.88843924954	310.13612741291865	18.81056869037299	0.9188589784826109	104	0:44
51.6%	28400	56.80000000002345	-458148.2800046735	4622.4663100200705	-453525.81369465345	321.26836706834655	18.62022181090184	0.9282520964059326	104	0:44
51.7%	28450	56.900000000023574	-458027.3463342398	4620.520123260096	-453406.8262109797	321.1331041587972	18.657731800175874	0.9263859142487073	104	0:44
51.8%	28500	57.0000000000237	-458054.37382020295	4606.774172392441	-453447.5996478105	320.1777398807537	18.56499564312868	0.9310134116788978	104	0:43
51.9%	28550	57.10000000002382	-458011.13526373595	4561.7243373170495	-453449.4109264189	317.0467085263452	18.512373122579586	0.9336598726195431	104	0:43
52.0%	28600	57.20000000002394	-458027.3881505085	4530.915324327536	-453496.472826181	314.9054357446112	18.490888071275023	0.9347447166890608	105	0:43
52.1%	28650	57.30000000002406	-458019.2431675744	4586.019294922706	-453433.2238726517	318.7352446528378	18.67432342858543	0.9255628455623455	105	0:43
52.2%	28700	57.400000000024185	-458061.4097521673	4669.43259268254	-453391.97715948476	324.53259441501956	18.71604574865126	0.9234995556023723	105	0:43
52.3%	28750	57.50000000002431	-458131.0552599798	4620.95461669541	-453510.1006432844	321.16330210662494	18.71604574865126	0.9234995556023723	105	0:43
52.4%	28800	57.60000000002443	-458087.9674684789	4580.179353254382	-453507.7881152245	318.3293599156165	18.71790894533465	0.923407629665873	105	0:43
52.5%	28850	57.70000000002455	-457847.0689442538	4379.472208717605	-453467.5967355362	304.37991123180325	18.838812353777975	0.917481399937979	105	0:42
52.5%	28900	57.800000000024674	-457906.5952239854	4388.698319838382	-453517.896904147	305.02113984340787	18.96539612805286	0.9113577072058577	105	0:42
